ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01706E+13,2.7E+07,-1,80,Male,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-4,Wednesday,Diary day was not a holiday
2.01706E+13,7771589,12,43,Female,Associate degree - occupational/vocational,1,Hispanic,Metropolitan,Employed - at work,No,Part time,No,Blank,Spouse present,Employed,-1,2,Full time,20,Tuesday,Diary day was not a holiday
2.01706E+13,4803809,-1,85,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,5719227,-1,60,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,140000,0,Blank,20,Friday,Diary day was not a holiday
2.01706E+13,5182257,-1,52,Female,"Professional school degree (MD, DDS, DVM, etc.)",2,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Unmarried partner present,Not employed,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,1.07E+07,-1,69,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Non-metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Thursday,Diary day was not a holiday
2.01706E+13,3821862,-1,65,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Friday,Diary day was not a holiday
2.01706E+13,1.28E+07,-1,62,Male,High school graduate - diploma or equivalent (GED),2,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Tuesday,Diary day was not a holiday
2.01706E+13,1.58E+07,-1,27,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,110576,0,Blank,55,Wednesday,Diary day was not a holiday
2.01706E+13,2.06E+07,-1,50,Female,"Bachelor's degree (BA, AB, BS, etc.)",2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,53846,0,Full time,45,Wednesday,Diary day was not a holiday
2.01706E+13,6095209,-1,73,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Friday,Diary day was not a holiday
2.01706E+13,6315898,10,75,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,6200,3,Blank,20,Wednesday,Diary day was not a holiday
2.01706E+13,1.62E+07,-1,79,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Wednesday,Diary day was not a holiday
